Name,Action,Industry,Country
Acerinox,still operating in Russia,Materials,Spain
Agrana,continue operating plant in Russia,Consumer Staples,Austria
Agricultural Bank of China,Russian companies open accounts with the bank; decline to comment,Financials,China
Aimbridge | Interstate Hotels,still operating in Russia,Consumer Discretionary,United States
Air China,still flying to Russia,Industrials,China
Air Serbia,still flying to Russia,Industrials,Serbia
Alibaba,still operating in Russia,Consumer Discretionary,China
Align Technology,still operating in Russia,Health Care,United States
Alpina Žiri,distributors in Russia,Consumer Discretionary,Slovenia
Alumil,Not disclosed publicly,Materials,Greece
Anadolu Efes,still operating in Russia,Consumer Staples,Turkey
ANT Group,joint venture with the Russian Sovereign Wealth Fund,Information Technology,China
Anta Sports,still operating and providing online sales to Russia,Consumer Discretionary,China
Antal,still operating and actively hiring in Russia,Industrials,United Kingdom
AnyDesk Software,still providing services to Russia; not disclosed publicly,Information Technology,Germany
Ariston Group,still operating and actively hiring in Russia,Consumer Discretionary,Italy
Asics,still operating in Russia; not disclosed publicly,Consumer Discretionary,Japan
Auchan-Retail,still operating in Russia,Consumer Staples,France
AVL,still operating in Russia,Industrials,Austria
B. Braun,still operating in Russia,Health Care,Germany
Babolat,still operating and selling to Russia,Consumer Discretionary,France
Bajaj Auto,business as usual,Consumer Discretionary,India
Bekaert,still manufacturing for the Russian market,Industrials,Belgium
Benetton,continue operations in Russia,Consumer Discretionary,Italy
Bharat Petroleum (BPCL),bought 2 million barrels of Russian Urals for May loading,Energy,India
Binbit,Operating in Russia,Communication Services,Mexico
Boggi,still operating in Russia & online sales running,Consumer Discretionary,Italy
Bonduelle,still operating in Russia,Consumer Staples,France
BPW,still cooperating with dealers in Russia; not disclosed publicly,Consumer Discretionary,Germany
Buzzi Unicem,continue operating plants in Russia,Materials,Italy
Cadence,still operating in Russia; not disclosed publicly,Information Technology,United States
Calzedonia,continue sales in Russia,Consumer Discretionary,Italy
Camille Albane,franchised salons continue to operate,Consumer Discretionary,France
CANPACK,still operating in Russia,Materials,Poland
Carl's Jr. | CLK,still operating in Russia,Consumer Discretionary,United States
Cham Wings,still flying to Russia,Industrials,Syria
Charoen Pokphand Foods,still operating in Russia,Consumer Staples,Thailand
Check Point Software,selling cybersecurity products in Russia,Information Technology,Israel
China Communications Construction Company,planning new infrastructural projects,Industrials,China
China Construction Bank,Russian companies open accounts with the bank; decline to comment,Financials,China
China Life Insurance Company,"offices in Russia, actively looks for new Russian employees",Financials,China
